sector,okved2,year,researchorg_s
Производство стекловолокна,23.14,2019,1
Производство стекловолокна,23.14,2020,1
Производство стекловолокна,23.14,2021,1
Производство стекловолокна,23.14,2022,1
Производство стекловолокна,23.14,2023,1
Производство стекловолокна,23.14,2024,1
Производство огнеупорных изделий,23.20,2019,2
Производство огнеупорных изделий,23.20,2020,3
Производство огнеупорных изделий,23.20,2021,3
Производство огнеупорных изделий,23.20,2022,2
Производство огнеупорных изделий,23.20,2023,2
Производство огнеупорных изделий,23.20,2024,3
"Производство огнеупорных кирпичей, блоков, плиток",23.20.1,2019,2
"Производство огнеупорных кирпичей, блоков, плиток",23.20.1,2020,2
"Производство огнеупорных кирпичей, блоков, плиток",23.20.1,2021,2
"Производство огнеупорных кирпичей, блоков, плиток",23.20.1,2022,2
"Производство огнеупорных кирпичей, блоков, плиток",23.20.1,2023,2
"Производство огнеупорных кирпичей, блоков, плиток",23.20.1,2024,2
Производство прочих огнеупорных керамических изделий,23.20.9,2020,1
Производство прочих огнеупорных керамических изделий,23.20.9,2021,1
Производство прочих огнеупорных керамических изделий,23.20.9,2024,1
Производство прочих фарфоровых и керамических изделий,23.4,2024,2
Производство керамических изоляторов и изолирующей арматуры,23.43,2020,1
Производство керамических изоляторов и изолирующей арматуры,23.43,2021,1
Производство керамических изоляторов и изолирующей арматуры,23.43,2023,1
Производство керамических изоляторов и изолирующей арматуры,23.43,2024,1
Производство прочих технических керамических изделий,23.44,2024,1
"Производство керамических изделий лабораторного, химического и промышленного назначения",23.44.1,2024,1
"Производство изделий из бетона, цемента и гипса",23.6,2024,1
Производство изделий из бетона для использования в строительстве,23.61,2024,1
"Производство абразивных и неметаллических минеральных изделий, не включенных в другие группировки",23.9,2024,1
"Производство прочей неметаллической минеральной продукции, не включенной в другие группировки",23.99,2019,2
"Производство прочей неметаллической минеральной продукции, не включенной в другие группировки",23.99,2020,2
"Производство прочей неметаллической минеральной продукции, не включенной в другие группировки",23.99,2021,1
"Производство прочей неметаллической минеральной продукции, не включенной в другие группировки",23.99,2022,2
"Производство прочей неметаллической минеральной продукции, не включенной в другие группировки",23.99,2023,1
"Производство прочей неметаллической минеральной продукции, не включенной в другие группировки",23.99,2024,1
"Производство битуминозных смесей на основе природного асфальта или битума, нефтяного битума, минеральных смол или их пеков",23.99.3,2022,1
Производство металлургическое,24,2018,30
Производство металлургическое,24,2019,34
Производство металлургическое,24,2020,28
Производство металлургическое,24,2021,25
Производство металлургическое,24,2022,22
Производство металлургическое,24,2023,22
Производство металлургическое,24,2024,24
Производство прочих цветных металлов; производство ядерного топлива,24.04.АГ,2018,11
Производство прочих цветных металлов; производство ядерного топлива,24.04.АГ,2019,11
Производство прочих цветных металлов; производство ядерного топлива,24.04.АГ,2020,8
Производство прочих цветных металлов; производство ядерного топлива,24.04.АГ,2024,9
"Производство чугуна, стали и ферросплавов",24.1,2018,4
"Производство чугуна, стали и ферросплавов",24.1,2019,6
"Производство чугуна, стали и ферросплавов",24.1,2020,5
"Производство чугуна, стали и ферросплавов",24.1,2021,4
"Производство чугуна, стали и ферросплавов",24.1,2022,4
"Производство чугуна, стали и ферросплавов",24.1,2023,4
"Производство чугуна, стали и ферросплавов",24.10,2024,5
Производство листового горячекатаного стального проката,24.10.3,2024,2
Производство листового холоднокатаного стального проката,24.10.4,2024,1
"Производство прочего проката из черных металлов, не включенного в другие группировки",24.10.9,2024,2
"Производство стальных труб, полых профилей и фитингов",24.2,2018,4
"Производство стальных труб, полых профилей и фитингов",24.2,2019,4
"Производство стальных труб, полых профилей и фитингов",24.2,2020,4
"Производство стальных труб, полых профилей и фитингов",24.2,2021,4
"Производство стальных труб, полых профилей и фитингов",24.2,2022,3
"Производство стальных труб, полых профилей и фитингов",24.2,2023,3
"Производство стальных труб, полых профилей и фитингов",24.20,2024,3
Производство бесшовных труб и пустотелых профилей,24.20.1,2019,2
Производство бесшовных труб и пустотелых профилей,24.20.1,2020,2
Производство бесшовных труб и пустотелых профилей,24.20.1,2021,2
Производство бесшовных труб и пустотелых профилей,24.20.1,2022,2
Производство бесшовных труб и пустотелых профилей,24.20.1,2023,1
Производство бесшовных труб и пустотелых профилей,24.20.1,2024,2
Производство сварных труб,24.20.2,2024,1
"Производство основных драгоценных металлов и прочих цветных металлов, производство ядерного топлива",24.4,2018,22
"Производство основных драгоценных металлов и прочих цветных металлов, производство ядерного топлива",24.4,2019,23
"Производство основных драгоценных металлов и прочих цветных металлов, производство ядерного топлива",24.4,2020,18
"Производство основных драгоценных металлов и прочих цветных металлов, производство ядерного топлива",24.4,2021,16
"Производство основных драгоценных металлов и прочих цветных металлов, производство ядерного топлива",24.4,2022,15
"Производство основных драгоценных металлов и прочих цветных металлов, производство ядерного топлива",24.4,2023,15
"Производство основных драгоценных металлов и прочих цветных металлов, производство ядерного топлива",24.4,2024,16
Производство драгоценных металлов,24.41,2024,3
Производство алюминия,24.42,2024,2
"Производство свинца, цинка и олова",24.43,2024,1
Производство цинка,24.43.2,2024,1
Производство меди,24.44,2024,1
Литье металлов,24.5,2019,1
Литье металлов,24.5,2020,1
Литье металлов,24.5,2021,1
"Производство готовых металлических изделий, кроме машин и оборудования",25,2018,43
"Производство готовых металлических изделий, кроме машин и оборудования",25,2019,62
"Производство готовых металлических изделий, кроме машин и оборудования",25,2020,62
"Производство готовых металлических изделий, кроме машин и оборудования",25,2021,65
"Производство готовых металлических изделий, кроме машин и оборудования",25,2022,70
"Производство готовых металлических изделий, кроме машин и оборудования",25,2023,71
"Производство готовых металлических изделий, кроме машин и оборудования",25,2024,75
"Производство готовых металлических изделий, кроме машин, оборудования, оружия и боеприпасов",25.01.АГ,2024,10
"Производство готовых металлических изделий, не включенных в другие группировки",25.04.АГ,2018,32
"Производство готовых металлических изделий, не включенных в другие группировки",25.04.АГ,2019,48
"Производство готовых металлических изделий, не включенных в другие группировки",25.04.АГ,2020,49
"Производство готовых металлических изделий, не включенных в другие группировки",25.04.АГ,2024,65
Производство строительных металлических конструкций и изделий,25.1,2020,1
Производство строительных металлических конструкций и изделий,25.1,2021,1
Производство строительных металлических конструкций и изделий,25.1,2022,1
Производство строительных металлических конструкций и изделий,25.1,2023,1
Производство строительных металлических конструкций и изделий,25.1,2024,2
"Производство строительных металлических конструкций, изделий и их частей",25.11,2020,1
"Производство строительных металлических конструкций, изделий и их частей",25.11,2021,1
"Производство строительных металлических конструкций, изделий и их частей",25.11,2022,1
"Производство строительных металлических конструкций, изделий и их частей",25.11,2023,1
"Производство строительных металлических конструкций, изделий и их частей",25.11,2024,2
"Производство металлических цистерн, резервуаров и прочих емкостей",25.2,2018,4
"Производство металлических цистерн, резервуаров и прочих емкостей",25.2,2019,3
"Производство металлических цистерн, резервуаров и прочих емкостей",25.2,2020,3
"Производство металлических цистерн, резервуаров и прочих емкостей",25.2,2021,3
"Производство металлических цистерн, резервуаров и прочих емкостей",25.2,2022,2
"Производство металлических цистерн, резервуаров и прочих емкостей",25.2,2023,2
"Производство металлических цистерн, резервуаров и прочих емкостей",25.2,2024,2
Производство радиаторов и котлов центрального отопления,25.21,2024,2
Производство радиаторов,25.21.1,2024,1
Производство котлов центрального отопления,25.21.2,2024,1
"Производство паровых котлов, кроме котлов центрального отопления",25.3,2018,2
"Производство паровых котлов, кроме котлов центрального отопления",25.3,2019,2
"Производство паровых котлов, кроме котлов центрального отопления",25.3,2020,1
"Производство паровых котлов, кроме котлов центрального отопления",25.3,2021,1
"Производство паровых котлов, кроме котлов центрального отопления",25.3,2022,1
"Производство паровых котлов, кроме котлов центрального отопления",25.3,2023,1
"Производство паровых котлов, кроме котлов центрального отопления",25.30,2024,1
"Производство ядерных установок и их составных частей, в том числе для транспортных средств",25.30.2,2024,1
"Производство частей ядерных установок, кроме устройств для разделения изотопов",25.30.22,2024,1
"Ковка, прессование, штамповка и профилирование; изготовление изделий методом порошковой металлургии",25.5,2022,1
"Ковка, прессование, штамповка и профилирование; изготовление изделий методом порошковой металлургии",25.5,2024,1
"Ковка, прессование, штамповка и профилирование, изготовление изделий методом порошковой металлургии",25.50,2024,1
Предоставление услуг по производству изделий методом порошковой металлургии,25.50.2,2024,1
Обработка металлов и нанесение покрытий на металлы; механическая обработка металлов,25.6,2018,4
Обработка металлов и нанесение покрытий на металлы; механическая обработка металлов,25.6,2019,5
Обработка металлов и нанесение покрытий на металлы; механическая обработка металлов,25.6,2020,6
Обработка металлов и нанесение покрытий на металлы; механическая обработка металлов,25.6,2021,4
Обработка металлов и нанесение покрытий на металлы; механическая обработка металлов,25.6,2022,6
Обработка металлов и нанесение покрытий на металлы; механическая обработка металлов,25.6,2023,3
Обработка металлов и нанесение покрытий на металлы; механическая обработка металлов,25.6,2024,3
Обработка металлов и нанесение покрытий на металлы,25.61,2024,1
Обработка металлических изделий механическая,25.62,2024,2
"Производство ножевых изделий и столовых приборов, инструментов и универсальных скобяных изделий",25.7,2018,1
"Производство ножевых изделий и столовых приборов, инструментов и универсальных скобяных изделий",25.7,2019,4
"Производство ножевых изделий и столовых приборов, инструментов и универсальных скобяных изделий",25.7,2020,2
"Производство ножевых изделий и столовых приборов, инструментов и универсальных скобяных изделий",25.7,2021,2
"Производство ножевых изделий и столовых приборов, инструментов и универсальных скобяных изделий",25.7,2022,2
"Производство ножевых изделий и столовых приборов, инструментов и универсальных скобяных изделий",25.7,2023,2
"Производство ножевых изделий и столовых приборов, инструментов и универсальных скобяных изделий",25.7,2024,1
Производство инструмента,25.73,2024,1
"Производство компьютеров, электронных и оптических изделий",26,2018,147
"Производство компьютеров, электронных и оптических изделий",26,2019,143
"Производство компьютеров, электронных и оптических изделий",26,2020,155
"Производство компьютеров, электронных и оптических изделий",26,2021,156
"Производство компьютеров, электронных и оптических изделий",26,2022,175
"Производство компьютеров, электронных и оптических изделий",26,2023,179
"Производство компьютеров, электронных и оптических изделий",26,2024,209
Производство элементов электронной аппаратуры и печатных схем (плат),26.1,2018,34
Производство элементов электронной аппаратуры и печатных схем (плат),26.1,2019,34
Производство элементов электронной аппаратуры и печатных схем (плат),26.1,2020,32
Производство элементов электронной аппаратуры и печатных схем (плат),26.1,2021,30
Производство элементов электронной аппаратуры и печатных схем (плат),26.1,2022,33
Производство элементов электронной аппаратуры и печатных схем (плат),26.1,2023,36
Производство элементов электронной аппаратуры и печатных схем (плат),26.1,2024,42
Производство элементов электронной аппаратуры,26.11,2024,42
Производство электронных вакуумных ламп и трубок и прочих электронных вакуумных приборов,26.11.1,2024,11
"Производство диодов, транзисторов и прочих полупроводниковых приборов, включая светоизлучающие диоды, пьезоэлектрические приборы и их части",26.11.2,2024,13
Производство интегральных электронных схем,26.11.3,2024,8
"Производство частей электронных ламп, трубок и прочих электронных компонентов, не включенных в другие группировки",26.11.9,2024,5
Производство компьютеров и периферийного оборудования,26.2,2018,2
Производство компьютеров и периферийного оборудования,26.20,2019,2
Производство компьютеров и периферийного оборудования,26.20,2020,4
Производство компьютеров и периферийного оборудования,26.20,2021,3
Производство компьютеров и периферийного оборудования,26.20,2022,9
Производство компьютеров и периферийного оборудования,26.20,2023,10
Производство компьютеров и периферийного оборудования,26.20,2024,11
"Производство устройств автоматической обработки данных, информационных и телекоммуникационных систем",26.20.04.АГ,2019,1
"Производство устройств автоматической обработки данных, информационных и телекоммуникационных систем",26.20.04.АГ,2020,1
"Производство устройств автоматической обработки данных, информационных и телекоммуникационных систем",26.20.04.АГ,2024,6
Производство компьютеров,26.20.1,2024,5
Производство коммуникационного оборудования,26.3,2018,26
Производство коммуникационного оборудования,26.30,2019,22
Производство коммуникационного оборудования,26.30,2020,26
Производство коммуникационного оборудования,26.30,2021,29
Производство коммуникационного оборудования,26.30,2022,31
Производство коммуникационного оборудования,26.30,2023,29
Производство коммуникационного оборудования,26.30,2024,39
"Производство прочего коммуникационного оборудования, не включенного в другие группировки",26.30.01.АГ,2018,1
"Производство прочего коммуникационного оборудования, не включенного в другие группировки",26.30.01.АГ,2019,1
"Производство прочего коммуникационного оборудования, не включенного в другие группировки",26.30.01.АГ,2020,3
"Производство прочего коммуникационного оборудования, не включенного в другие группировки",26.30.01.АГ,2024,5
"Производство коммуникационной аппаратуры, радио- и телевизионной передающей аппаратуры, телевизионных камер",26.30.1,2024,30
"Производство средств связи, выполняющих функцию систем коммутации",26.30.11,2024,9
Производство радио- и телевизионной передающей аппаратуры,26.30.17,2024,13
Производство прочего коммуникационного оборудования,26.30.19,2024,3
"Производство оконечного (пользовательского) оборудования телефонной или телеграфной связи, аппаратуры видеосвязи",26.30.2,2024,1
"Производство прочих телефонных аппаратов, устройств и аппаратуры для передачи и приема речи, изображений или других данных, включая оборудование коммуникационное для работы в проводных или беспроводных сетях связи (например, локальных и глобальных сетях)",26.30.29,2024,1
"Производство антенн, антенных отражателей всех видов и их деталей",26.30.4,2024,2
Производство охранно-пожарной сигнализации и аналогичных приборов,26.30.6,2024,3
Производство бытовой электроники,26.40,2018,5
Производство бытовой электроники,26.40,2019,3
Производство бытовой электроники,26.40,2020,4
Производство бытовой электроники,26.40,2021,4
Производство бытовой электроники,26.40,2022,4
Производство бытовой электроники,26.40,2023,4
Производство бытовой электроники,26.40,2024,5
"Производство телевизионных приемников, включая видеомониторы и видеопроекторы",26.40.2,2024,1
Производство видеомониторов и видеопроекторов,26.40.23,2024,1
Производство аппаратуры для записи и воспроизведения звука и изображения,26.40.3,2024,1
Производство электроакустической аппаратуры,26.40.4,2024,2
Производство частей звукозаписывающей и звуковоспроизводящей аппаратуры и видеоаппаратуры,26.40.5,2024,1
Производство контрольно,26.5,2018,64
Производство контрольно-измерительных и навигационных приборов и аппаратов; производство часов,26.5,2019,71
Производство контрольно-измерительных и навигационных приборов и аппаратов; производство часов,26.5,2020,79
Производство контрольно-измерительных и навигационных приборов и аппаратов; производство часов,26.5,2021,78
Производство контрольно-измерительных и навигационных приборов и аппаратов; производство часов,26.5,2022,82
Производство контрольно-измерительных и навигационных приборов и аппаратов; производство часов,26.5,2023,85
Производство контрольно-измерительных и навигационных приборов и аппаратов; производство часов,26.5,2024,97
"Производство инструментов и приборов для измерения, тестирования и навигации",26.51,2024,97
"Производство прочих инструментов и приборов для измерения, тестирования и навигации",26.51.02.АГ,2018,35
"Производство прочих инструментов и приборов для измерения, тестирования и навигации",26.51.02.АГ,2019,37
"Производство прочих инструментов и приборов для измерения, тестирования и навигации",26.51.02.АГ,2020,43
"Производство прочих инструментов и приборов для измерения, тестирования и навигации",26.51.02.АГ,2024,50
"Производство навигационных, метеорологических, геодезических, геофизических и аналогичного типа приборов, аппаратуры и инструментов",26.51.1,2024,17
Производство приборов и аппаратуры для измерения электрических величин или ионизирующих излучений,26.51.4,2024,7
Производство приборов для контроля прочих физических величин,26.51.5,2024,10
"Производство прочих приборов, датчиков, аппаратуры и инструментов для измерения, контроля и испытаний",26.51.6,2024,11
"Производство облучающего и электротерапевтического оборудования, применяемого в медицинских целях",26.6,2018,10
"Производство облучающего и электротерапевтического оборудования, применяемого в медицинских целях",26.6,2019,6
"Производство облучающего и электротерапевтического оборудования, применяемого в медицинских целях",26.6,2020,4
"Производство облучающего и электротерапевтического оборудования, применяемого в медицинских целях",26.6,2021,5
"Производство облучающего и электротерапевтического оборудования, применяемого в медицинских целях",26.6,2022,7
"Производство облучающего и электротерапевтического оборудования, применяемого в медицинских целях",26.6,2023,6
"Производство облучающего и электротерапевтического оборудования, применяемого в медицинских целях",26.60,2024,6
"Производство аппаратов, применяемых в медицинских целях, основанных на использовании рентгеновского, альфа-, бета- и гамма-излучений",26.60.1,2024,3
"Производство диагностического и терапевтического оборудования, применяемого в медицинских целях",26.60.5,2024,3
"Производство оптических приборов, фото",26.7,2018,6
"Производство оптических приборов, фото- и кинооборудования",26.7,2019,5
"Производство оптических приборов, фото- и кинооборудования",26.7,2020,6
"Производство оптических приборов, фото- и кинооборудования",26.7,2021,7
"Производство оптических приборов, фото- и кинооборудования",26.7,2022,9
"Производство оптических приборов, фото- и кинооборудования",26.7,2023,9
"Производство оптических приборов, фото- и кинооборудования",26.70,2024,9
Производство фото- и кинооборудования,26.70.1,2024,3
Производство оптических систем обнаружения оружия,26.70.3,2024,1
Производство оптических прицелов и приборов определения координат целей,26.70.6,2024,5
Производство электрического оборудования,27,2018,42
Производство электрического оборудования,27,2019,46
Производство электрического оборудования,27,2020,50
Производство электрического оборудования,27,2021,47
Производство электрического оборудования,27,2022,55
Производство электрического оборудования,27,2023,52
Производство электрического оборудования,27,2024,55
"Производство электродвигателей, генераторов, трансформаторов и распределительных устройств, а также контрольно",27.1,2018,18
"Производство электродвигателей, генераторов, трансформаторов и распределительных устройств, а также контрольно-измерительной аппаратуры",27.1,2019,24
"Производство электродвигателей, генераторов, трансформаторов и распределительных устройств, а также контрольно-измерительной аппаратуры",27.1,2020,28
"Производство электродвигателей, генераторов, трансформаторов и распределительных устройств, а также контрольно-измерительной аппаратуры",27.1,2021,25
"Производство электродвигателей, генераторов, трансформаторов и распределительных устройств, а также контрольно-измерительной аппаратуры",27.1,2022,29
"Производство электродвигателей, генераторов, трансформаторов и распределительных устройств, а также контрольно-измерительной аппаратуры",27.1,2023,27
"Производство электродвигателей, генераторов, трансформаторов и распределительных устройств, а также контрольно-измерительной аппаратуры",27.1,2024,29
"Производство электродвигателей, электрогенераторов и трансформаторов",27.11,2024,6
"Производство электродвигателей, генераторов и трансформаторов, кроме ремонта",27.11.1,2024,6
Производство электродвигателей,27.11.11,2024,3
Производство генераторов,27.11.12,2024,1
Производство трансформаторов,27.11.13,2024,2
Производство электрической распределительной и регулирующей аппаратуры,27.12,2024,23
Производство электрических аккумуляторов и аккумуляторных батарей,27.2,2018,7
Производство электрических аккумуляторов и аккумуляторных батарей,27.2,2019,8
Производство электрических аккумуляторов и аккумуляторных батарей,27.2,2020,7
Производство электрических аккумуляторов и аккумуляторных батарей,27.2,2021,6
Производство электрических аккумуляторов и аккумуляторных батарей,27.2,2022,7
Производство электрических аккумуляторов и аккумуляторных батарей,27.2,2023,9
Производство электрических аккумуляторов и аккумуляторных батарей,27.20,2024,6
"Производство первичных элементов, батарей первичных элементов и их частей",27.20.1,2024,3
"Производство аккумуляторов, в том числе для автомобилей, аккумуляторных батарей и их составных частей",27.20.2,2024,3
Производство аккумуляторных батарей и их частей,27.20.22,2024,2
Производство прочих аккумуляторов,27.20.23,2024,1
Производство кабелей и кабельной арматуры,27.3,2018,3
Производство кабелей и кабельной арматуры,27.3,2019,2
Производство кабелей и кабельной арматуры,27.3,2020,4
Производство кабелей и кабельной арматуры,27.3,2021,4
Производство кабелей и кабельной арматуры,27.3,2022,8
Производство кабелей и кабельной арматуры,27.3,2023,7
Производство кабелей и кабельной арматуры,27.3,2024,10
Производство волоконно-оптических кабелей,27.31,2024,1
Производство прочих проводов и кабелей для электронного и электрического оборудования,27.32,2024,5
Производство кабелей для телефонной связи,27.32.1,2024,2
Производство силовых кабелей,27.32.2,2024,3
Производство электроустановочных изделий,27.33,2024,4
Производство электрических ламп и осветительного оборудования,27.4,2018,2
Производство электрических ламп и осветительного оборудования,27.4,2019,2
Производство электрических ламп и осветительного оборудования,27.4,2020,2
Производство электрических ламп и осветительного оборудования,27.4,2021,2
Производство электрических ламп и осветительного оборудования,27.4,2022,3
Производство электрических ламп и осветительного оборудования,27.4,2023,3
Производство электрических ламп и осветительного оборудования,27.40,2024,3
Производство бытовых приборов,27.5,2021,1
Производство бытовых приборов,27.5,2022,1
Производство прочего электрического оборудования,27.9,2018,12
Производство прочего электрического оборудования,27.9,2019,10
Производство прочего электрического оборудования,27.9,2020,9
Производство прочего электрического оборудования,27.9,2021,9
Производство прочего электрического оборудования,27.9,2022,7
Производство прочего электрического оборудования,27.9,2023,6
Производство прочего электрического оборудования,27.90,2024,7
"Производство электрического оборудования прочего, не включенного в другие группировки",27.90.9,2024,7
"Производство машин и оборудования, не включенных в другие группировки",28,2018,40
"Производство машин и оборудования, не включенных в другие группировки",28,2019,46
"Производство машин и оборудования, не включенных в другие группировки",28,2020,49
"Производство машин и оборудования, не включенных в другие группировки",28,2021,53
"Производство машин и оборудования, не включенных в другие группировки",28,2022,53
"Производство машин и оборудования, не включенных в другие группировки",28,2023,61
"Производство машин и оборудования, не включенных в другие группировки",28,2024,60
Производство машин и оборудования общего назначения,28.1,2018,16
Производство машин и оборудования общего назначения,28.1,2019,18
Производство машин и оборудования общего назначения,28.1,2020,20
Производство машин и оборудования общего назначения,28.1,2021,22
Производство машин и оборудования общего назначения,28.1,2022,23
Производство машин и оборудования общего назначения,28.1,2023,22
Производство машин и оборудования общего назначения,28.1,2024,22
"Производство двигателей и турбин, кроме авиационных, автомобильных и мотоциклетных двигателей",28.11,2024,5
"Производство двигателей, кроме авиационных, автомобильных и мотоциклетных",28.11.1,2024,3
Производство турбин,28.11.2,2024,2
Производство гидравлического и пневматического силового оборудования,28.12,2024,4
Производство гидравлических и пневматических силовых установок и двигателей,28.12.1,2024,3
Производство гидравлических насосов,28.12.2,2024,1
Производство прочих насосов и компрессоров,28.13,2024,10
Производство арматуры трубопроводной (арматуры),28.14,2024,2
"Производство подшипников, зубчатых передач, элементов механических передач и приводов",28.15,2024,1
"Производство корпусов подшипников и подшипников скольжения, зубчатых колес, зубчатых передач и элементов приводов",28.15.2,2024,1
